Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request_New_Modify_Remove_PhysicalAccess_getnewids,50,125,124,172,181,229,68,229,0.000%,.08491,0.06,0.09
Request_New_Modify_Remove_Business_Application_Access_WorkflowId,64,255,243,347,391,406,161,447,0.000%,.11126,0.27,0.12
Home_Dashboard-api/analyticsdashboard/find,8,195,153,294,303,303,122,303,0.000%,.01573,0.02,0.02
NERC Shared Account_SetDoc-1,10,740,743,916,916,962,547,962,0.000%,.01852,0.02,0.02
IDM_LocationHierarchy-api/lists/find-1,8,204,176,269,310,310,103,310,0.000%,.01570,0.01,0.02
Email ID Change_RequestSave,20,389,365,519,532,544,241,544,0.000%,.03505,0.05,0.05
NERC Built-in-Account_SetDoc-3,10,931,855,1161,1161,1346,721,1346,0.000%,.01838,0.02,0.02
Home_Dashboard-api/configsetting/find,8,147,159,184,186,186,84,186,0.000%,.01573,0.01,0.02
IDM_LocationHierarchy-api/lists/find-2,8,186,161,239,323,323,116,323,0.000%,.01571,0.01,0.02
Request_New_Email_Access_RequestSave,30,412,396,526,549,750,224,750,0.000%,.05158,0.09,0.08
NERC Service Account_SetDoc-2,10,747,711,883,883,934,561,934,0.000%,.01851,0.02,0.02
IDM_LocationType-api/locationtype/find,8,164,147,257,266,266,99,266,0.000%,.01575,0.01,0.02
IDM_ManageIdentity-api/country/find,8,210,215,250,259,259,136,259,0.000%,.01573,0.11,0.02
Request_New_Modify_Remove_PhysicalAccess_api/messagelog/save-1,50,206,202,277,283,432,104,432,0.000%,.08483,0.08,0.11
NERC Shared Account_SetDoc-2,10,649,629,782,782,839,430,839,0.000%,.01851,0.02,0.02
Request AD Service Account_SetDoc-1,10,662,619,808,808,833,534,833,0.000%,.01853,0.02,0.02
IDM_ManageIdentity-api/identity/find-1,8,494,480,542,543,543,441,543,0.000%,.01572,0.04,0.03
Request_New_Modify_Remove_Active_Directory_Access_getnewids,50,126,117,181,202,357,71,357,0.000%,.08512,0.06,0.09
IDM_ManageIdentityType-api/lists/find,8,164,164,199,238,238,96,238,0.000%,.01574,0.01,0.02
IDM_ManageIdentity-api/lists/find,8,185,161,238,280,280,127,280,0.000%,.01573,0.01,0.02
Request_New_Modify_Remove_Business_Application_Access_SetDoc-1,49,595,584,701,773,984,426,984,0.000%,.08540,0.08,0.10
IDM_ManageIdentity-api/getnewids,8,134,129,161,238,238,71,238,0.000%,.01572,0.01,0.02
IDM_ManageIdentityType-api/identitytype/find,8,193,181,226,280,280,122,280,0.000%,.01574,0.02,0.02
IDM_OrganizationHierarchy-api/getnewids,8,139,101,201,231,231,76,231,0.000%,.01574,0.01,0.02
Request_New_Email_Access_WorkflowId,30,284,261,385,391,412,183,412,0.000%,.05169,0.11,0.06
Request_New_Modify_Remove_PhysicalAccess_RequestSave,50,542,531,703,709,943,358,943,0.000%,.08461,0.19,0.15
IDM_OrganizationHierarchy-api/classdef/find,8,188,151,246,319,319,130,319,0.000%,.01574,0.03,0.02
Request_New_Modify_Remove_Active_Directory_Access_api/messagelog/save-1,50,207,201,287,311,449,110,449,0.000%,.08520,0.08,0.11
NERC Service Account_SetDoc-3,10,836,805,955,955,1030,613,1030,0.000%,.01854,0.02,0.02
NERC Shared Account_SetDoc-3,10,851,844,974,974,1153,616,1153,0.000%,.01850,0.02,0.02
IDM_OrganizationType-api/lists/find,8,177,146,214,315,315,107,315,0.000%,.01573,0.01,0.02
IDM_OrganizationHierarchy-api/lists/find,8,166,153,195,196,196,131,196,0.000%,.01575,0.01,0.02
Request_New_Modify_Remove_Database_Access_getnewids,20,134,118,162,195,311,86,311,0.000%,.03509,0.03,0.04
IDM_OrganizationType-api/organisationtype/find,8,144,141,162,185,185,101,185,0.000%,.01574,0.01,0.02
Request AD Service Account_SetDoc-2,10,755,665,941,941,1065,578,1065,0.000%,.01853,0.02,0.02
Request_New_Modify_Remove_Business_Application_Access_SetDoc-2,49,611,583,762,837,1103,466,1103,0.000%,.08535,0.10,0.12
login_Inbox-api/activity/find,8,220,166,301,346,346,149,346,0.000%,.01574,0.09,0.02
Request_New_Modify_Remove_Active_Directory_Access_RequestSave,50,726,678,1001,1013,1078,475,1078,0.000%,.08519,0.31,0.20
login_Inbox-api/classdef/find,8,177,141,202,360,360,125,360,0.000%,.01574,0.01,0.02
Home_MyRequests-api/getnewids,8,111,95,151,168,168,79,168,0.000%,.01574,0.01,0.02
Request_New_Modify_Remove_Database_Access_api/messagelog/save-1,20,194,178,262,312,325,111,325,0.000%,.03500,0.03,0.04
login_Inbox-api/country/find,8,206,170,283,324,324,136,324,0.000%,.01573,0.01,0.02
Request_New_Modify_Remove_PhysicalAccess_WorkflowId,49,253,235,389,423,526,128,526,0.000%,.08486,0.17,0.09
Home_MyRequests-api/request/findRequests-1,8,357,366,425,436,436,215,436,0.000%,.01573,0.09,0.02
Request_New_Email_Access_SetDoc-1,30,1015,1016,1269,1282,1390,713,1390,0.000%,.05174,0.05,0.06
login_Inbox-api/configsetting/find,8,119,88,130,296,296,57,296,0.000%,.01574,0.01,0.02
Request AD Service Account_SetDoc-3,10,745,705,909,909,990,587,990,0.000%,.01854,0.02,0.02
Primary Share Information_getnewids,100,135,128,191,212,287,72,344,0.000%,.16990,0.12,0.17
login_Inbox-api/docnumberrange/find,8,302,300,397,424,424,195,424,0.000%,.01574,0.04,0.02
Recon_ReconMonitor-api/reconmonitor/find-1,8,857,849,1002,1044,1044,693,1044,0.000%,.01571,0.37,0.02
login_Inbox-api/lists/find-1,8,177,179,234,247,247,102,247,0.000%,.01574,0.01,0.02
Recon_ReconRemediation-api/getnewids,8,135,119,169,193,193,82,193,0.000%,.01574,0.01,0.02
Request_New_Modify_Remove_Business_Application_Access_SetDoc-3,49,892,894,1086,1225,1415,587,1415,0.000%,.08520,0.09,0.11
Request_New_Modify_Remove_Active_Directory_Access_WorkflowId,79,268,258,354,422,567,133,581,0.000%,.13442,0.34,0.14
login_Inbox-api/lists/find-2,8,147,139,182,200,200,93,200,0.000%,.01575,0.01,0.02
login_Inbox-api/lists/find-3,8,183,168,213,290,290,116,290,0.000%,.01575,0.01,0.02
Recon_ReconMonitor-api/reconmonitor/find-2,8,860,780,976,1021,1021,737,1021,0.000%,.01572,0.37,0.02
CIP: Information Access_getnewids,20,122,127,154,160,160,81,160,0.000%,.03517,0.03,0.04
Recon_ReconSetup-api/getnewids,8,149,118,147,339,339,107,339,0.000%,.01575,0.01,0.02
Recon_ReconMonitor-api/classdef/find,8,301,311,357,380,380,224,380,0.000%,.01575,0.27,0.02
Request_New_Modify_Remove_PhysicalAccess_SetDoc-1,49,940,930,1192,1215,1224,594,1224,0.000%,.08481,0.09,0.12
login_Inbox-api/lists/find-4,8,228,221,266,320,320,142,320,0.000%,.01575,0.01,0.02
Request_New_Modify_Remove_Database_Access_RequestSave,20,567,513,729,740,829,425,829,0.000%,.03499,0.08,0.06
Recon_ReconSetup-api/classdef/find,8,172,175,205,247,247,118,247,0.000%,.01575,0.01,0.02
Non CIP: ELECTRONIC ACCESS_getnewids,20,126,119,155,167,190,81,190,0.000%,.03692,0.03,0.04
Request AD Service Account_SetDoc-4,10,1104,1030,1422,1422,1471,784,1471,0.000%,.01851,0.02,0.02
login_Inbox-api/lists/find-5,8,152,123,186,234,234,99,234,0.000%,.01576,0.01,0.02
CIP: Information Access_api/messagelog/save,20,203,200,259,262,325,131,325,0.000%,.03512,0.03,0.04
Settings_CardDesigner-api/badgedesigner/find,8,197,199,223,238,238,149,238,0.000%,.01573,0.09,0.02
Primary Share Information_RequestSave,50,474,458,557,632,781,272,781,0.000%,.08516,0.19,0.14
Settings_ConfigureProvisioningAction-api/getnewids,8,116,107,137,185,185,68,185,0.000%,.01573,0.01,0.02
login_Inbox-api/accessrequesttype/find,8,1449,1463,1523,1661,1661,1207,1661,0.000%,.01574,0.78,0.02
Revoke_CIP_Access_getnewids,10,118,112,142,142,171,78,171,0.000%,.01851,0.01,0.02
Request_New_Modify_Remove_Database_Access_WorkflowId,20,237,219,284,322,322,172,322,0.000%,.03499,0.07,0.04
Request_New_Modify_Remove_Active_Directory_Access_SetDoc-1,49,377,361,473,530,653,234,653,0.000%,.08490,0.09,0.10
Settings_ConfigureProvisioningAction-api/provisioninaction/find,8,184,157,238,315,315,112,315,0.000%,.01573,0.02,0.02
login_Inbox-api/lists/find-28,8,194,180,240,243,243,115,243,0.000%,.01579,0.02,0.02
Request_New_Modify_Remove_Business_Application_Access_SetDoc-4,49,2051,2002,2335,2623,3184,1577,3184,0.000%,.08512,0.09,0.12
Request_New_Modify_Remove_PhysicalAccess_SetDoc-2,49,889,889,1027,1111,2045,618,2045,0.000%,.08493,0.09,0.11
CIP: Information Access_RequestSave,20,460,440,580,594,656,251,656,0.000%,.03509,0.07,0.05
Settings_ConfigureProvisioningAction-api/lists/find-1,8,144,119,196,209,209,98,209,0.000%,.01574,0.01,0.02
Settings_ConfigureProvisioningAction-api/lists/find-2,8,189,159,271,345,345,125,345,0.000%,.01573,0.01,0.02
login_Inbox-api/messagelog/groupbyworkflowstep/detail,8,415,424,459,510,510,299,510,0.000%,.01579,0.02,0.02
Request_New_Modify_Remove_Active_Directory_Access_SetDoc-2,49,378,365,467,519,736,247,736,0.000%,.08482,0.09,0.10
Disable All Access_getnewids,10,126,124,152,152,213,79,213,0.000%,.01845,0.01,0.02
Settings_ConfigureProvisioningAction-api/lists/find-3,8,195,188,284,288,288,101,288,0.000%,.01574,0.02,0.02
CIP: Information Access_WorkflowId,22,345,319,431,479,679,218,679,0.000%,.03861,0.19,0.04
Settings_DocumentNumberRange-api/docnumberrange/find,8,342,253,576,636,636,206,636,0.000%,.01572,0.04,0.02
Revoke_CIP_Access_api/messagelog/save,10,215,173,294,294,387,118,387,0.000%,.01848,0.02,0.02
Non CIP: ELECTRONIC ACCESS_api/messagelog/save,10,182,175,247,247,258,106,258,0.000%,.01855,0.02,0.02
Request_New_Modify_Remove_Active_Directory_Access_SetDoc-3,49,370,362,465,504,536,251,536,0.000%,.08457,0.09,0.10
Request_New_Modify_Remove_Database_Access_SetDoc-1,20,887,889,1064,1065,1382,517,1382,0.000%,.03498,0.04,0.05
Settings_Jobtype-api/getnewids,8,155,120,232,318,318,80,318,0.000%,.01574,0.01,0.02
Settings_Deligation-api/classdef/find-1,8,171,140,236,274,274,120,274,0.000%,.01582,0.01,0.02
login_Inbox-api/messagelog/header/status/count,8,1662,1627,2017,2145,2145,1261,2145,0.000%,.01576,0.01,0.02
Request Unix Linux Service Account_getnewids,10,136,119,192,192,204,82,204,0.000%,.01850,0.01,0.02
Settings_Jobtype-api/jobtype/find,8,185,190,232,259,259,121,259,0.000%,.01574,0.06,0.02
Disable All Access_RequestSave,10,746,724,957,957,1055,573,1055,0.000%,.01838,0.06,0.02
Settings_Deligation-api/lists/find,8,255,234,365,393,393,128,393,0.000%,.01582,0.01,0.02
login_Inbox-api/messagemaster/find,8,188,177,216,332,332,126,332,0.000%,.01582,0.01,0.02
Recon_ReconSetup-api/reconconfig/find,8,6329,6223,6832,7031,7031,5649,7031,0.000%,.01557,1.42,0.02
Non CIP: ELECTRONIC ACCESS_RequestSave,10,614,585,645,645,815,526,815,0.000%,.01854,0.07,0.04
Request_New_Modify_Remove_PhysicalAccess_SetDoc-3,49,1757,1724,2012,2221,2388,1409,2388,0.000%,.08489,0.09,0.12
Settings_Deligation-api/classdef/find-2,8,265,200,384,490,490,171,490,0.000%,.01583,0.11,0.02
Settings_ManageClassDefinition-api/classdeftype/find,8,203,205,238,277,277,119,277,0.000%,.01573,0.01,0.02
login_Inbox-api/messagelog/header/find-1,8,539,532,557,645,645,456,645,0.000%,.01582,0.07,0.02
Recon_ReconSetup-api/lists/find-1,8,163,153,242,242,242,90,242,0.000%,.01578,0.01,0.02
Settings_ListEntries-api/lists/find,8,1264,1200,1533,1553,1553,1012,1553,0.000%,.01569,1.32,0.02
Revoke_CIP_Access_RequestSave,10,621,510,795,795,1164,427,1164,0.000%,.01846,0.04,0.02
Request Unix Linux Service Account_RequestSave,10,711,626,896,896,952,511,952,0.000%,.01845,0.04,0.03
Settings_Deligation-api/identity/find,8,266,245,308,402,402,185,402,0.000%,.01583,0.03,0.02
Request_New_Modify_Remove_Database_Access_SetDoc-2,20,616,561,678,902,1287,452,1287,0.000%,.03499,0.04,0.05
Recon_ReconSetup-api/lists/find-2,8,164,129,258,299,299,104,299,0.000%,.01578,0.01,0.02
Settings_ManageScreenControlSet-api/activity/find,8,224,203,269,395,395,139,395,0.000%,.01573,0.08,0.02
Recon_ReconSetup-api/lists/find-3,8,165,156,190,246,246,108,246,0.000%,.01578,0.01,0.02
Settings_ManageScreenControlSet-api/screencontrolset/find,8,127,119,154,157,157,95,157,0.000%,.01573,0.04,0.02
Request Server Admin Access_getnewids,10,146,144,192,192,221,79,221,0.000%,.01852,0.01,0.02
Settings_MessageMaster-api/getnewids,8,116,112,126,150,150,98,150,0.000%,.01573,0.01,0.02
Non CIP: ELECTRONIC ACCESS_WorkflowId,10,375,343,411,411,611,295,611,0.000%,.01854,0.12,0.02
login_Inbox-api/requesttype/find,8,1526,1518,1763,1777,1777,1218,1777,0.000%,.01579,0.78,0.02
Request Unix Linux Service Account_WorkflowId,10,287,263,345,345,472,193,472,0.000%,.01844,0.04,0.02
CIP: Information Access_SetDoc-1,20,946,927,1094,1153,1180,790,1180,0.000%,.03525,0.04,0.04
login_Inbox-api/assettype/find,8,199,200,226,272,272,124,272,0.000%,.01585,0.02,0.02
